white-skull	32	1087	3894	4.07	('all', 69)	('dont_know', 15)	("you're_gonna_do", 10)
moby	66	1071	5917	3.63	('so', 119)	('la_la', 32)	('la_la_la', 26)
weezer	75	1507	9016	3.81	('all', 112)	('hoo_hoo', 38)	('hoo_hoo_hoo', 36)
trisha-yearwood	115	2159	15556	4.46	('love', 264)	('let_go', 46)	('dont_let_go', 26)
suzanne-vega	103	2415	12865	3.85	('her', 150)	('do_love', 33)	('if_were_movie', 11)
sade	49	1125	7318	3.93	('love', 209)	('da_da', 56)	('da_da_da', 32)
saxon	78	1965	11380	3.97	('rock', 146)	('written_by', 69)	("rock_'n_roll", 28)
no-doubt	120	3099	20513	4.34	('so', 292)	('dont_let', 46)	('do_do_do', 36)
tracy-byrd	65	1905	10335	5.35	('but', 157)	("i've_got", 26)	("all_i've_got", 13)
patty-loveless	100	1994	14184	4.21	('love', 205)	('no_more', 35)	('dont_get_no', 21)
staind	75	1465	8953	3.77	('all', 214)	("it's_been", 20)	("it's_been_awhile", 20)
mark-chesnutt	71	1832	8925	5.25	('but', 115)	('repeat_chorus', 31)	('pays_big_money', 9)
steve-winwood	69	1625	8767	5.75	('all', 117)	('every_day', 26)	('gimme_some_lovin', 19)
belle-and-sebastian	84	2730	13440	5.06	('she', 221)	('she_was', 18)	("it's_coming_back", 12)
soul-asylum	94	2540	13404	5.29	('just', 191)	('get_out', 31)	('how_get_out', 12)
jo-dee-messina	54	1571	7972	4.69	('oh', 112)	('keep_faith', 33)	('keep_faith_keep', 21)
suede	80	1495	8179	5.49	('oh', 144)	('she_walks', 19)	('she_walks_streets', 12)
pearl-jam	176	3396	21826	4.97	('oh', 310)	('yeah_yeah', 59)	('dont_gimme_no', 37)
alabama	76	1939	9458	6.14	('love', 131)	('words_music', 37)	('words_music_by', 37)
neil-young	458	4659	54417	3.26	('love', 652)	('he_was', 76)	('wanna_wanna_wanna', 44)
riot	38	1434	6377	4.93	('go', 112)	('go_go', 45)	('go_go_go', 35)
diamond-rio	76	2026	10774	4.56	('love', 148)	('hold_now', 27)	('start_all_over', 12)
testament	75	2080	9232	3.5	('will', 104)	('peterson_lyrics', 23)	('peterson_lyrics_billy', 13)
deftones	102	2063	10962	4.21	('so', 165)	('so_why', 39)	('so_why_dont', 35)
axxis	104	1843	13356	4.14	('will', 183)	('na_na', 39)	('na_na_na', 32)
filter	57	1128	6450	4.02	('just', 115)	('did_think', 20)	("i'll_take_down", 16)
john-mellencamp	94	2498	15165	4.26	('chorus', 184)	('yeah_yeah', 41)	('yeah_yeah_yeah', 23)
prong	33	1008	2258	9.0	('all', 60)	('far_go', 5)	('not_this_earth', 4)
savage-garden	31	1228	5194	4.07	('want', 74)	('all_around', 23)	('ride_this_train', 10)
xtc	116	3158	12156	4.2	('all', 162)	('wish_wish', 18)	('wish_wish_wish', 16)
modest-mouse	97	2263	11706	5.04	('all', 205)	('dont_know', 26)	("we'll_all_float", 22)
def-leppard	144	2546	22277	4.26	('all', 299)	('na_na', 80)	('na_na_na', 67)
sodom	117	4045	13963	3.54	('by', 115)	('dont_walk', 19)	('dont_walk_away', 18)
